interest_keywords,major_name,degree_category,employment_outlook,typical_roles,fit_notes,risk_notes
AI|人工智能|计算机|编程|软件,计算机科学与技术,工学,长期需求仍在但竞争加剧，学校平台和项目经历很重要,软件开发/算法工程/测试开发/产品技术岗,适合数学和逻辑能力强且愿意长期自学的学生,热门导致分数高，低质量项目和浅层培训风险大
AI|人工智能|数据|算法,人工智能,工学,产业需求存在但岗位更看重数学基础、编程能力和研究/项目经历,算法工程/数据科学/智能应用开发,适合数学基础好且能接受高强度学习的学生,本科阶段容易学得宽而浅，读研需求较高
新能源|电力|电气|储能,电气工程及其自动化,工学,电网、新能源、制造业需求相对稳定，区域和院校行业资源影响明显,电网/电力设计/新能源设备/自动化工程,适合物理基础好且接受工程现场的学生,部分岗位有地域和单位门槛，热门学校竞争强
医学|医生|临床,临床医学,医学,社会需求长期存在但培养周期长，学历和规培要求高,临床医生/医学科研/医院相关岗位,适合抗压强、愿意长期学习并接受夜班和规培的学生,周期长、压力高，对家庭支持和个人耐受要求高
财经|金融|会计|商业,会计学,管理学,基础岗位稳定但自动化和内卷明显，证书与实习质量很关键,审计/财务/税务/企业经营分析,适合细致、规则意识强、愿意考证的学生,普通院校同质化竞争强，需要证书和实习拉开差距
传媒|内容|广告|新媒体,新闻传播学,文学,传统媒体岗位收缩，新媒体、品牌、内容运营仍有机会但波动大,内容运营/品牌传播/公关/媒体编辑,适合表达强、作品意识强、能适应平台变化的学生,行业波动大，作品集和实习比课堂成绩更影响就业
法学|法律|律师|公检法,法学,法学,职业路径清晰但资格考试和学校平台影响很大,律师/法务/公务员/法院检察院相关岗位,适合阅读量大、逻辑表达强、能长期备考的学生,法考和公务员竞争强，普通院校就业分化明显
财经|金融|投资|银行|证券,金融学,经济学,金融岗位仍有需求但更看重城市、学校层次、实习和复合技能,银行/证券/基金/企业投融资/风控,适合数学和表达都不弱且愿意积累实习资源的学生,行业周期性强，头部岗位竞争激烈
经济|贸易|商业|政策,经济学,经济学,适合作为宽口径基础专业，就业质量依赖学校平台和后续深造或实习,咨询/研究助理/企业经营分析/公务员相关岗位,适合抽象分析、数据阅读和政策理解能力强的学生,本科直接就业岗位不够专门化，需要辅修数据或金融会计能力
师范|语文|中文|写作|公务员,汉语言文学,文学,教师、公务员、内容和出版相关方向稳定但竞争充分,中小学语文教师/编辑/文案/公务员事业单位,适合文字能力强、阅读耐心好、愿意备考的学生,师范和编制岗位竞争大，非师范路线要靠作品或实习
心理|教育|咨询|用户研究,心理学,理学,应用场景扩大但专业门槛和学历要求较高,用户研究/人力资源/教育测评/心理咨询助理,适合统计基础和沟通能力都较好的学生,临床咨询路径需要长期培训和资质积累，本科就业不算直接
