interest_keywords,major_name,degree_category,employment_outlook,typical_roles,fit_notes,risk_notes
“智能医学工程+电子信息工程”联合学士学位项目|医学|AI|人工智能|智能制造|医生|医院|电子工程|通信网络|芯片|半导体|硬件测试,“智能医学工程+电子信息工程”联合学士学位项目,医学,评级A；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,电子工程、通信网络、芯片/半导体、硬件测试,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
“海洋药学+生物科学”联合学士学位项目|医学|药师|药品研发|药企注册|质量|医药销售,“海洋药学+生物科学”联合学士学位项目,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
“药学+应用化学”联合学士学位项目|医学|药师|药品研发|药企注册|质量|医药销售,“药学+应用化学”联合学士学位项目,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
“药学+材料科学与工程”联合学士学位项目|医学|药师|药品研发|药企注册|质量|医药销售,“药学+材料科学与工程”联合学士学位项目,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
且语|交叉学科,且语,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中医养生学|医学|医生|医院科室|医学科研|基层医疗,中医养生学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中医学|医学|医生|医院|中医师|针灸推拿师,中医学,医学,评级B；学习难度4/5；国家政策扶持，基层需求大,中医师、针灸推拿师,核心课程/能力：中医基础、方剂学、针灸学,就业评级B；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
中医骨伤科学|医学|医生|医院科室|医学科研|基层医疗,中医骨伤科学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中国语言文学类|文学|内容传播|教育|外贸|公共服务,中国语言文学类,文学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,内容传播、教育、外贸、公共服务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中草药栽培与鉴定|交叉学科|药师|药品研发|药企注册|质量|医药销售,中草药栽培与鉴定,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中药制药|医学|药师|药品研发|药企注册|质量|医药销售,中药制药,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中药学|医学|医生|医院|药学|药企|中药师|中药研发,中药学,医学,评级B；学习难度3/5；广东中医药强省政策支持,中药师、中药研发,核心课程/能力：中药鉴定、中药化学、方剂学,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
中药学类|医学|药师|药品研发|药企注册|质量|医药销售,中药学类,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中药资源与开发|医学|药师|药品研发|药企注册|质量|医药销售,中药资源与开发,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中西医临床医学5年|医学|医生|医院|医院科室|医学科研|基层医疗,中西医临床医学,医学,评级A；学习难度5/5；医疗健康刚需强，培养周期和执业资格要求高,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度5/5；医疗健康刚需强，培养周期和执业资格要求高
医学|医生|临床|临床医学|医院|医学研究人员,临床医学,医学,评级A；学习难度5/5；永不过时，但培养周期长(5+3年)；三甲医院竞争激烈,临床医生/医学科研/医院相关岗位,适合抗压强、愿意长期学习并接受夜班和规培的学生,就业评级A；学习难度5/5；学习压力较高，适合基础扎实且愿意长期投入的学生
临床医学类|医学|医生|医院|医院科室|医学科研|基层医疗,临床医学类,医学,评级A；学习难度5/5；医疗健康刚需强，培养周期和执业资格要求高,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度5/5；医疗健康刚需强，培养周期和执业资格要求高
临床药学|医学|医生|医院|临床|药学|药企|临床药师,临床药学,医学,评级B；学习难度3/5；医院药学转型方向,临床药师,核心课程/能力：临床药理学、治疗药物监测,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
书法学|法学|法律|公务员|公检法|法律服务|合规风控,书法学,法学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,法律服务、公务员、公检法、合规风控,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
互联网金融|经济学|财经|金融|投资|银行|证券|保险|财税|企业经营分析,互联网金融,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,银行、证券、保险、财税、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
交通工程|工学|工程技术|产品研发|生产运维|项目实施,交通工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
交通管理|工学|运营管理|市场营销|供应链|电子商务,交通管理,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
交通管理工程|工学|运营管理|市场营销|供应链|电子商务,交通管理工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
交通运输|工学|工科|工程|技术|交通工程师|物流规划师,交通运输,工学,评级B；学习难度3/5；智慧交通方向有增长,交通工程师、物流规划师,核心课程/能力：交通规划、运输经济学、智慧交通,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
交通运输类|工学|工程技术|产品研发|生产运维|项目实施,交通运输类,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
产品设计|艺术学|设计|文创|艺术教育|展演|制作,产品设计,艺术学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,设计、文创、艺术教育、展演/制作,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
人力资源管理|管理学|管理|商业|运营|HR专员|招聘专员|薪酬管理,人力资源管理,管理学,评级C；学习难度2/5；各企业需要但岗位竞争大,HR专员、招聘专员、薪酬管理,核心课程/能力：人力资源管理、劳动法、组织行为学,就业评级C；学习难度2/5；仍需结合学校层次、城市和实习资源判断
人工智能157|工学|AI|人工智能|智能制造|软件开发|数据分析|算法|AI应用|信息安全,人工智能,工学,评级A；学习难度5/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品,软件开发、数据分析、算法/AI应用、信息安全,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度5/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品
